Scene,ParamScale,Training_Time,Train_SSIM,Train_PSNR,Train_LPIPS,Test_SSIM,Test_PSNR,Test_LPIPS
garden,2500k,465.2769868373871,0.9160343,30.1674232,0.0807196,0.8727261,27.9965057,0.1018677
garden,3000k,519.7702968120575,0.9210632,30.416111,0.0748291,0.8744458,27.9787407,0.0980975
garden,3500k,571.2584433555603,0.924709,30.5713654,0.0710714,0.8760887,28.066824,0.0950396
garden,4000k,628.115492105484,0.9279436,30.7484379,0.0676244,0.8773764,28.0632477,0.0927379
garden,4500k,675.1586015224457,0.9306136,30.8904171,0.064872,0.8776443,28.0658417,0.0910735
garden,5000k,758.288810968399,0.932998,31.037262,0.0624599,0.8785784,28.1260643,0.0897724
stump,200k,159.84444069862366,0.7276496,25.8154259,0.3523023,0.6943929,25.4476089,0.342606
stump,400k,211.25865197181702,0.1507485,3.0604689,0.7540032,0.1383414,2.4547582,0.7375373
stump,600k,220.0596673488617,0.8295879,28.1600571,0.2417824,0.7600141,26.4255295,0.2533441
stump,800k,249.8156659603119,0.8527111,28.8941803,0.2137262,0.773357,26.7264156,0.2333866
stump,1000k,273.05460500717163,0.8697284,29.4615192,0.1926951,0.7806634,26.8661385,0.2200922
stump,1200k,296.46475648880005,0.8822573,29.9244366,0.1771221,0.7853751,26.8726616,0.2120903
stump,1400k,278.74455213546753,0.1524766,13.0521517,0.6925988,0.1320675,13.7150192,0.6999186
stump,1600k,337.4905412197113,0.9008043,30.694006,0.1529409,0.7917713,27.0531197,0.1990696
stump,1800k,356.51395750045776,0.908382,31.0752258,0.1432583,0.7928536,27.047533,0.195051
stump,2000k,374.95871806144714,0.9127676,31.2428589,0.1368203,0.7930803,27.0483227,0.1927689
treehill,200k,179.11793899536133,0.6329387,21.6793613,0.411922,0.5845476,22.7844639,0.4385422
treehill,400k,215.98329877853394,0.6892619,22.5432739,0.3525951,0.6121579,22.9543228,0.387794
treehill,600k,247.2199580669403,0.7234828,23.1010723,0.3158102,0.6260551,23.072279,0.3580631
treehill,800k,275.5391893386841,0.7471492,23.5204525,0.2897464,0.6322268,23.0650425,0.3379201
treehill,1000k,301.1812651157379,0.7666646,23.8744907,0.2688115,0.6370749,23.0366879,0.3222467
treehill,1200k,324.1309263706207,0.7823602,24.2190742,0.2526611,0.6405566,23.0246181,0.3113046
treehill,1400k,346.6433334350586,0.7955971,24.5060253,0.2382804,0.6434976,23.0123997,0.3026135
treehill,1600k,368.7640552520752,0.8055789,24.71628,0.2271415,0.6437398,23.0957241,0.2956001
treehill,1800k,392.7654685974121,0.8138229,24.882143,0.218241,0.6441411,23.0045853,0.2903473
treehill,2000k,410.82678747177124,0.8231728,25.1231613,0.2083687,0.6448741,22.9145489,0.2857818
room,200k,211.57622718811035,0.9258957,33.9606972,0.2288031,0.9132376,31.8280315,0.2408364
room,400k,252.5785562992096,0.9362438,34.672184,0.2036032,0.9218979,32.1941185,0.2179412
room,600k,284.7053253650665,0.9414247,35.0355721,0.1899952,0.9268907,32.3642578,0.2053735
room,800k,313.89385437965393,0.9444746,35.3085938,0.1820118,0.9294569,32.5150604,0.1983702
room,1000k,339.2746093273163,0.946582,35.45084,0.1769648,0.9305013,32.6122093,0.1945374
counter,200k,246.55760526657104,0.9090107,30.1183701,0.2127908,0.8965158,28.9722099,0.2256513
counter,400k,315.6518876552582,0.9244367,30.9323769,0.1850064,0.9085981,29.4188557,0.2012158
counter,600k,365.4364869594574,0.931887,31.3797073,0.1708873,0.9136826,29.6547184,0.1896366
counter,800k,411.0282852649689,0.9362838,31.6576691,0.1622161,0.9167054,29.7419815,0.1826778
counter,1000k,454.4971675872803,0.9394502,31.82897,0.1561733,0.9186639,29.8181362,0.1782299
kitchen,300k,275.0058009624481,0.9310963,32.4152985,0.1366355,0.9190855,31.3557472,0.1453812
kitchen,400k,332.6284010410309,0.9375528,32.9018211,0.126705,0.9245374,31.7242393,0.1359594
kitchen,500k,326.06427669525146,0.9410841,33.2633896,0.1203066,0.9277794,31.9679718,0.1302535
kitchen,600k,344.7865240573883,0.943952,33.4649925,0.1156405,0.9291881,32.0859795,0.1261313
kitchen,700k,367.8097143173218,0.9449871,33.5723457,0.1128873,0.9304742,32.1232224,0.1239386
kitchen,800k,387.9403829574585,0.9468428,33.7264252,0.1099762,0.9316293,32.2286987,0.1216518
kitchen,900k,779.0818767547607,0.9482777,33.9114189,0.1077088,0.9329701,32.2546082,0.1193347
kitchen,1000k,433.04686760902405,0.9490634,33.9244194,0.1064055,0.9337491,32.3354492,0.1182611
bonsai,300k,142.64282131195068,0.1058984,3.6039648,0.7507458,0.1034828,3.5848281,0.7496341
bonsai,400k,273.41244626045227,0.9495205,33.5999413,0.1989134,0.943701,32.6110992,0.2026734
bonsai,500k,294.3795177936554,0.9515087,33.8271599,0.1934134,0.9454418,32.7938347,0.197802
bonsai,600k,313.46786546707153,0.9536989,34.1152344,0.1885417,0.9466284,32.8687134,0.193434
bonsai,700k,333.3776743412018,0.9552177,34.2468185,0.1851058,0.9483375,33.1012726,0.1900215
bonsai,800k,348.70559000968933,0.9561533,34.393631,0.1826352,0.9488939,33.054142,0.18796
bonsai,900k,363.5180983543396,0.9568057,34.4551888,0.1804471,0.9500379,33.1849213,0.1856589
